問題文,正解,解説
塩化アンモニウムの化学式はNH₃Clである。,×,正しい答えはNH₄Clである。原子の数が３ではなく４であることがポイント。
中和をするときは吸熱反応が起こる。,×,発熱反応が起こり、熱くなる。
天体が決まった天体を中心に動くことを公転という。,○,忘れやすいところ。
心臓から肺につながる肺動脈には動脈血が流れている。,×,動脈だけど流れているのは静脈血。
南半球の太陽は西から昇って北を通り東に沈む。　,×,東から昇って北を通り西に沈む。
太陽が完全に隠れてしまう日食を皆既日食という。,○,皆既日食
鐘状火山は噴火が激しい。,○,マグマのねばりけが高いから、噴火も激しい。楯状火山は噴火が穏やか
師管は光合成によって作られた有機養分の通り道,○,水　道管　栄養　師管
2000年以上前古代ギリシャのニュートンは重いものほど速く落下すると考えた。,×,アリストテレス
マグニチュードが１上がる度、規模が約３２倍ずつ大きくなる。,○,１つ上がる度に約３２倍大きくなる。正確には10√10倍→数字が２つ上がるとエネルギー量は1000倍
動脈血は心臓から送り出された血液のこと,×,動脈血は酸素を大きく含む血液で、問題文に書いたのは動脈
じゃがいもは種子ではなく、地下茎と呼ばれる茎である。,○,
地球から西に見える金星のことを「宵の明星」という,○,東の空から見えるのが「明けの明星」
上弦の月は昇っているときに弦が下を向いている,○,沈むときに弦が上を向くので、昇っているときは下向きになる
遺伝子の本体である物質をデオキシリボ核酸という,○,DNAで覚えてるから忘れてそう。
醤油は電流を通す。,○,主成分である食塩（塩化ナトリウム）が水に溶けて「イオン」に分かれ、そのイオンが電気を運ぶ（電解質水溶液となる）ため
ヘモグロビンは酸素の多いところでは、酸素と結びつく。,○,ヘモグロビンの持つ性質、酸素の量によって結びつくか離れるか変わる。
等級(天体の明るさを表す単位)が大きいほど明るい。,×,等級は数値が小さいほど明るくなる。太陽は約ー２６等級
レモンの汁を赤色リトマス紙につけると青色に変化する。,×,レモンの汁は強い酸性なので、赤色リトマス紙につけても、変化は起きず赤色のまま。
水とエタノールの沸点の差は12℃である。,×,水の沸点は100℃、エタノールは78℃であることを理解したうえで、差を求める必要がある。　100－78＝22なので答えは×
地中に埋まっているものをマグマといい、地表に出てきたものを溶岩という。,○,それぞれに違う名前が付けられており、性質が違う場合もある。
土星は主に水素とヘリウムガスからできているが、土星の環は氷と石からできている。,○,土星本体と土星の環では、作られている成分が大きく異なるため。
複数の力と同じ働きをする一つの力を同力という,×,合力
石英は有色鉱石である,×,無色鉱石である
斑レイ岩は斑状組織である,×,斑がつくが斑状組織ではない。等粒状組織である。
太陽の活動が活発になると、オーロラは観測しやすい。,○,太陽の活動が活発な時に見える
白血球は酸素が多いところでは酸素と結合しやすく酸素の少ないところでは酸素を離しやすい,×,この働きをするのは白血球ではなく赤血球に含まれるヘモグロビン
月が地球の影に入る現象を月食という,○,月が地球の影に食べられるから月食
化石は、すべての生物の体の一部が残ったものである。,×,体の一部だけでなく、足跡の化石などもある。石炭も化石に分類(植物由来の化石資源)
DNAの正式名称は「デノキシリボ核酸」である。,×,一文字違い。　正しいのは、「デオキシリボ核酸」
は虫類は「変温動物」である。,○,
